game_id,message_count
74795869,30
74795872,24
74795889,30
74795894,24
74795934,30
74795938,34
74795940,28
74795944,27
74795946,24
74795950,24
74795955,40
74795960,32
74795962,28
74795976,30
74795980,24
74795984,29
74796022,24
74796023,26
74796026,24
74796032,24
74796036,30
74796051,30
74796057,24
74796060,24
74796070,30
74796072,30
74796078,30
74796081,30
74796082,30
74796088,24
74796089,26
74796091,23
74796098,29
74796099,32
74796103,30
74796109,36
74796141,24
74796142,24
74796146,30
74796148,30
74796152,26
74796163,36
74796165,24
74796169,30
74796170,28
74796179,24
74796184,24
74796185,28
74796186,30
74796189,24
74796196,30
74796199,24
74796241,26
74796242,30
74796245,26
74796250,46
74796255,28
74796257,24
74796262,32
74796270,30
74796279,26
74796298,26
74796301,40
74796335,29
74796337,24
74796339,34
74796341,26
74796353,16
74796367,36
74796373,24
74796377,24
74796387,46
74796401,24
74796410,24
74796446,24
74796447,24
74796448,28
74796451,24
74796465,24
74796468,24
74796473,30
74796475,26
74796476,24
74796477,24
74796484,30
74796487,24
74796490,24
74796491,26
74796495,26
74796497,26
74796504,26
74796506,30
74796510,24
74796516,30
74796554,32
74796562,24
74796573,34
74796581,24
74796583,24
74796588,28
74796591,24
74796594,34
74796595,26
74796606,26
74796615,24
74796616,26
74796618,24
74796627,26
74796663,24
74796665,26
74796666,38
74796668,30
74796672,28
74796681,30
74796682,28
74796685,36
74796687,24
74796691,36
74796693,28
74796697,38
74796703,26
74796708,30
74796709,24
74796711,24
74796712,34
74796714,24
74796715,24
74796720,24
74796730,28
74796765,30
74796771,30
74796777,32
74796787,26
74796791,26
74796817,36
74796821,38
74796825,26
74796828,39
74796834,26
74796840,24
74796875,26
74796878,36
74796885,30
74796887,30
74796894,24
74796911,34
74796924,28
74796925,24
74796961,24
74796965,24
74796967,44
74796970,26
74796987,28
74796990,34
74797003,30
74797004,30
74797014,29
74797016,32
74797021,26
74797022,24
74797039,30
74797074,32
74797075,28
74797080,33
74797086,24
74797089,30
74797090,30
74797091,30
74797100,28
74797101,30
74797117,36
74797121,24
74797123,26
74797124,30
74797137,34
74797142,36
74797181,24
74797190,26
74797196,30
74797200,26
74797203,26
74797208,29
74797209,34
74797210,24
74797214,24
74797217,33
74797220,26
74797225,26
74797234,32
74797268,30
74797277,24
74797279,24
74797281,26
74797288,34
74797299,30
74797300,24
74797304,24
74797305,30
74797310,26
74797312,28
74797322,26
74797323,24
74797325,26
74797331,34
74797337,36
74797373,30
74797382,48
74797383,28
74797387,30
74797399,24
74797405,30
74797412,24
74797415,30
74797416,24
74797417,30
74797418,28
74797423,30
74797435,28
74797480,24
74797498,34
74797510,34
74797516,30
74797518,26
74797524,28
74797525,24
74797528,28
74797539,28
74797542,30
74797544,26
74797549,24
74797551,26
74797554,36
74797560,29
74797564,30
74797568,24
74797602,26
74797625,24
74797643,24
74797648,24
74797656,24
74797657,26
74797705,24
74797708,30
74797709,26
74797713,24
74797714,30
74797728,38
74797734,36
74797738,24
74797744,28
74797748,26
74797749,30
74797762,30
74797765,23
74797767,44
74797768,29
74797769,30
74797775,24
74797776,24
74797807,26
74797808,24
74797811,30
74797822,30
74797825,24
74797831,24
74797847,24
74797848,26
74797850,36
74797851,24
74797866,26
74797867,30
74797899,24
74797901,25
74797905,30
74797906,30
74797908,26
74797912,26
74797914,30
74797917,28
74797920,36
74797926,26
74797931,28
74797932,37
74797937,24
74797941,36
74797954,26
74797956,28
74797957,24
74797958,28
74797997,30
74798010,30
74798011,36
74798012,29
74798014,34
74798016,26
74798028,28
74798031,26
74798033,26
74798036,30
74798042,25
74798043,30
74798052,24
74798053,24
74798089,34
74798092,32
74798094,24
74798096,26
74798098,24
74798101,24
74798104,24
74798110,24
74798117,24
74798119,24
74798124,26
74798125,29
74798126,24
74798127,30
74798129,30
74798161,30
74798162,34
74798164,24
74798200,33
74798201,34
74798208,24
74798212,30
74798215,24
74798220,24
74798223,26
74798226,24
74798230,30
74798239,30
74798247,25
74798257,34
74798265,26
74798266,26
74798272,26
74798305,34
74798319,23
74798325,26
74798333,23
74798337,24
74798354,24
74798356,26
74798362,24
74798365,33
74798374,30
74798409,24
74798414,26
74798415,30
74798417,24
74798419,30
74798426,26
74798428,30
74798432,26
74798434,22
74798436,24
74798444,30
74798446,26
74798450,28
74798452,36
74798457,30
74798459,30
74798460,30
74798462,24
74798508,28
74798518,24
74798537,30
74798542,24
74798546,28
74798549,34
74798551,36
74798552,24
74798554,34
74798556,26
74798560,30
74798569,30
74798578,30
74798579,26
74798581,30
74798591,26
74798607,36
74798617,28
74798619,38
74798622,30
74798626,36
74798630,30
74798631,36
74798639,23
74798643,43
74798648,26
74798685,30
74798713,28
74798715,26
74798721,24
74798722,24
74798724,24
74798729,36
74798731,36
74798736,30
74798737,24
74798745,30
74798779,24
74798781,30
74798787,30
74798789,28
74798793,36
74798794,24
74798796,36
74798799,24
74798811,30
74798817,24
74798818,24
74798827,24
74798831,28
74798835,30
74798837,24
74798850,30
74798851,42
74798894,24
74798895,24
74798896,24
74798897,33
74798898,24
74798901,28
74798904,28
74798908,28
74798910,28
74798916,26
74798931,26
74798936,26
74798937,26
74798954,24
74798994,24
74798996,24
74798999,28
74799001,24
74799007,26
74799011,24
74799012,30
74799029,34
74799035,40
74799036,24
74799039,30
74799046,28
74799078,26
74799086,24
74799093,24
74799094,24
74799098,28
74799099,30
74799101,30
74799102,30
74799112,34
74799124,28
74799126,24
74799127,30
74799128,26
74799130,30
74799132,24
74799133,34
74799135,36
74799177,24
74799188,28
74799195,24
74799199,30
74799208,30
74799210,36
74799218,32
74799220,46
74799221,30
74799227,24
74799234,26
74799236,24
74799239,28
74799245,26
74799279,30
74799281,30
74799284,24
74799288,24
74799297,24
74799304,24
74799310,28
74799318,28
74799323,30
74799325,24
74799349,28
74799353,34
74799354,34
74799360,24
74799361,24
74799362,24
74799395,30
74799400,38
74799406,34
74799412,24
74799415,30
74799416,26
74799417,24
74799418,26
74799422,30
74799434,34
74799435,30
74799437,42
74799450,38
74799462,30
74799466,26
74799471,28
74799502,29
74799511,26
74799516,30
74799522,24
74799523,30
74799527,24
74799530,24
74799531,28
74799532,24
74799535,23
74799538,24
74799539,30
74799540,24
74799541,36
74799543,34
74799550,24
74799586,24
74799590,26
74799596,24
74799597,36
74799602,24
74799611,24
74799616,30
74799618,26
74799620,36
74799627,30
74799635,28
74799636,24
74799641,28
74799645,46
74799649,26
74799650,26
74799652,36
74799687,31
74799697,24
74799710,24
74799721,29
74799724,26
74799728,25
74799729,41
74799733,30
74799742,24
74799743,32
74799761,22
74799775,33
74799777,24
74799780,24
74799813,24
74799820,24
74799821,34
74799832,30
74799836,24
74799840,24
74799843,24
74799845,24
74799854,34
74799858,30
74799864,30
74799870,30
74799876,26
74799897,26
74799927,30
74799930,29
74799938,30
74799939,24
74799947,34
74799949,30
74799954,30
74799955,24
74799958,36
74799962,30
74799963,34
74799969,32
74799970,26
74799985,22
74799987,30
74800000,28
74800037,24
74800045,44
74800046,32
74800047,24
74800048,24
74800052,32
74800054,30
74800055,32
74800062,24
74800065,24
74800071,29
74800078,30
74800081,30
74800083,24
74800086,24
74800089,32
74800123,34
74800124,24
74800131,23
74800134,26
74800137,26
74800138,30
74800158,38
74800159,24
74800164,26
74800165,28
74800174,28
74800175,26
74800178,34
74800187,24
74800226,30
74800237,24
74800238,24
74800247,30
74800258,34
74800264,24
74800265,23
74800294,24
74800327,24
74800333,30
74800340,30
74800346,26
74800348,24
74800350,26
